medcode,readcode,readterm,cat
27348,H561.00,Idiopathic pulmonary haemosiderosis,Chronic pulmonary disease
27363,BBd2.00,"[M]Meningioma, malignant",Solid tumour or leukaemia
27369,C362000,Metabolic acidosis NEC,Fluid and electrolyte disorders
27370,B333.00,Malignant neoplasm skin of other and unspecified parts face,Solid tumour or leukaemia
27375,G561z00,Atrioventricular block NOS,Cardiac arrythmia
27377,F152200,Progressive bulbar palsy,Paralysis
27389,G72yA00,Aneurysm of hepatic artery,Peripheral vascular disease
27391,B576100,Secondary malignant neoplasm of peritoneum,Metastatic cancer
27416,B601.00,Lymphosarcoma,Lymphoma
27427,K01z.00,Nephrotic syndrome NOS,Renal disease
27438,J615700,Cardiac portal cirrhosis,Liver disease
27439,BBTA.00,[M]Kaposi's sarcoma,Solid tumour or leukaemia
27449,B554.00,Malignant neoplasm of upper limb NOS,Solid tumour or leukaemia
27450,F135z00,Other choreas NOS,Other neurological disorders
27483,B240.00,Malignant neoplasm of thymus,Solid tumour or leukaemia
27491,E11y200,Atypical depressive disorder,Depression
27494,G74y300,Embolism and thrombosis of the iliac artery unspecified,Peripheral vascular disease
27509,BBP1.00,"[M]Mesothelioma, malignant",Solid tumour or leukaemia
27511,6628,Poor hypertension control,Hypertension (uncomplicated)
27525,9OI..11,Hypertension clinic admin.,Hypertension (uncomplicated)
27526,F255z00,Partial epilepsy without impairment of consciousness NOS,Other neurological disorders
27528,B303.00,"Malignant neoplasm of ribs, sternum and clavicle",Solid tumour or leukaemia
27533,C03z.12,Cretinism,Hypothyroidism
27540,B4A1000,Malignant neoplasm of renal calyces,Solid tumour or leukaemia
27542,B827300,Carcinoma in situ of skin of lower leg,Solid tumour or leukaemia
27557,N043z00,Juvenile rheumatoid arthritis NOS,Rheumatoid arthritis and collagen diseases
27562,BBk0.12,[M]Follicular lymphosarcoma NOS,Lymphoma
27563,G711.00,Thoracic aortic aneurysm which has ruptured,Peripheral vascular disease
27565,PB62.00,Congenital cystic liver disease,Liver disease
27570,66C7.00,Treatment of obesity stopped,Obesity
27580,7A48000,Bypass femoral artery by fem/pop art anast c prosthesis NEC,Peripheral vascular disease
27584,Eu31700,"[X]Bipolar affective disorder, currently in remission",Psychoses
27603,N04..00,Rheumatoid arthritis and other inflammatory polyarthropathy,Rheumatoid arthritis and collagen diseases
27617,B45y000,Malignant neoplasm of overlapping lesion of vulva,Solid tumour or leukaemia
27634,9N1y200,Seen in hypertension clinic,Hypertension (uncomplicated)
27641,A789300,HIV disease resulting in Pneumocystis carinii pneumonia,HIV/AIDS
27651,B58..11,Secondary carcinoma of other specified sites,Metastatic cancer
27652,Eu11700,[X]Men & beh dis due opioids: resid & late-onset psychot dis,Drug abuse
27663,J63X.00,"Granulomatous hepatitis, not elsewhere classified",Liver disease
27670,L255300,Maternal care for (suspected) damage to fetus from alcohol,Alcohol abuse
27677,E001300,Presenile dementia with depression,Other neurological disorders
27715,B242.00,Malignant neoplasm of anterior mediastinum,Solid tumour or leukaemia
27726,D000.00,Iron deficiency anaemia due to chronic blood loss,Blood loss anaemia
27728,BB90.00,"[M]Intraductal carcinoma, noninfiltrating NOS",Solid tumour or leukaemia
27739,E111200,"Recurrent manic episodes, moderate",Psychoses
27759,Eu02z16,"[X] Senile dementia, depressed or paranoid type",Other neurological disorders
27770,Eu23312,[X]Psychogenic paranoid psychosis,Psychoses
27805,F342100,Tardy ulnar nerve palsy,Paralysis
27811,B804000,Carcinoma in situ of rectosigmoid junction,Solid tumour or leukaemia
27819,H312.00,Obstructive chronic bronchitis,Chronic pulmonary disease
27827,BB51.00,[M]Adenocarcinoma in situ,Solid tumour or leukaemia
27849,BB5U200,[M]Villous adenocarcinoma,Solid tumour or leukaemia
27853,A789500,HIV disease resulting in Kaposi's sarcoma,HIV/AIDS
27855,B140.00,Malignant neoplasm of rectosigmoid junction,Solid tumour or leukaemia
27874,G56y.00,Other conduction disorders,Cardiac arrythmia
27884,G580200,Decompensated cardiac failure,Congestive heart failure
27890,E115200,"Bipolar affective disorder, currently depressed, moderate",Depression
27891,N030100,Diabetic Charcot arthropathy,Diabetes with end-organ damage
27897,B143.00,Malignant neoplasm of anus unspecified,Solid tumour or leukaemia
27926,H330100,Extrinsic asthma with status asthmaticus,Chronic pulmonary disease
27928,G561300,Mobitz type I (Wenckebach) atrioventricular block,Cardiac arrythmia
27931,B33z000,Kaposi's sarcoma of skin,Solid tumour or leukaemia
27935,Eu02z15,[X] Senile psychosis NOS,Psychoses
27944,B800100,Carcinoma in situ of tongue,Solid tumour or leukaemia
27960,E240300,Opioid dependence in remission,Drug abuse
27964,G582.00,Acute heart failure,Congestive heart failure
27965,BBv2.00,[M]AngiocentricT-cell lymphoma,Lymphoma
27966,F231.00,Congenital hemiplegia,Paralysis
27975,G641000,Cerebral infarction due to embolism of cerebral arteries,Other neurological disorders
27986,E117z00,"Unspecified bipolar affective disorder, NOS",Psychoses
28003,B420.00,Choriocarcinoma,Solid tumour or leukaemia
28059,B560600,Secondary and unspec malig neop of facial lymph nodes,Metastatic cancer
28062,G743.00,Embolism and thrombosis of other and unspec parts aorta,Peripheral vascular disease
28069,B505.00,Malignant neoplasm of retina,Solid tumour or leukaemia
28082,F21X.00,"Acute disseminated demyelination, unspecified",Other neurological disorders
28109,G714100,Inflammatory abdominal aortic aneurysm,Peripheral vascular disease
28148,B540.00,Malignant neoplasm of adrenal gland,Solid tumour or leukaemia
28150,E250z00,Nondependent alcohol abuse NOS,Alcohol abuse
28158,TB11.00,"Kidney dialysis with complication, without blame",Renal disease
28163,B13z.00,Malignant neoplasm of colon NOS,Solid tumour or leukaemia
28168,Eu44.14,[X]Hysterical psychosis,Psychoses
28170,F13..11,Extrapyramidal disease excluding Parkinson's disease,Other neurological disorders
28229,H563z00,Idiopathic fibrosing alveolitis NOS,Chronic pulmonary disease
28241,B496.00,Malignant neoplasm of ureteric orifice,Solid tumour or leukaemia
28248,Eu32z13,[X]Prolonged single episode of reactive depression,Depression
28272,BB57.00,"[M]Adenocarcinoma, intestinal type",Solid tumour or leukaemia
28277,Eu31200,[X]Bipolar affect disorder cur epi manic with psychotic symp,Psychoses
28291,BB69.00,[M]Sebaceous adenoma and adenocarcinoma,Solid tumour or leukaemia
28306,F23z.00,Congenital cerebral palsy NOS,Paralysis
28311,B41z.00,Malignant neoplasm of cervix uteri NOS,Solid tumour or leukaemia
28314,G61X000,"Left sided intracerebral haemorrhage, unspecified",Other neurological disorders
28316,N003X00,"Dermatopolymyositis, unspecified",Rheumatoid arthritis and collagen diseases
28331,7L0D111,Correction of Erb's palsy,Paralysis
28350,PB62100,Fibrocystic liver disease,Liver disease
28353,P23z.00,Congenital hydrocephalus NOS,Other neurological disorders
28388,BB5jz00,[M]Endometrioid adenoma or carcinoma NOS,Solid tumour or leukaemia
28402,Eu02000,[X]Dementia in Pick's disease,Other neurological disorders
28417,N001.12,Systemic sclerosis,Rheumatoid arthritis and collagen diseases
28451,B08z.00,Malignant neoplasm of hypopharynx NOS,Solid tumour or leukaemia
28556,B32z.00,Malignant melanoma of skin NOS,Solid tumour or leukaemia
28559,B055z00,Malignant neoplasm of palate NOS,Solid tumour or leukaemia
28562,Eu22.00,[X]Persistent delusional disorders,Psychoses
28574,9h4..00,Exception reporting: diabetes quality indicators,Diabetes (uncomplicated)
28598,C366111,Idiopathic fluid retention,Fluid and electrolyte disorders
28599,BBJ1.00,[M]Liposarcoma NOS,Solid tumour or leukaemia
28616,7A41100,Bypass iliac artery by iliac/femoral artery anastomosis NEC,Peripheral vascular disease
28625,BB71.00,[M]Mucoepidermoid carcinoma,Solid tumour or leukaemia
28628,BBJ3.00,"[M]Liposarcoma, well differentiated type",Solid tumour or leukaemia
28639,B627000,Follicular non-Hodgkin's small cleaved cell lymphoma,Lymphoma
28642,13c5.00,Substance misuse increased,Drug abuse
28662,G113.00,Nonrheumatic mitral valve stenosis,Valvular disease
28665,B07z.00,Malignant neoplasm of nasopharynx NOS,Solid tumour or leukaemia
28677,Eu33312,"[X]Manic-depress psychosis,depressed type+psychotic symptoms",Depression
28684,G233.00,Hypertensive heart and renal disease with renal failure,Renal disease
28695,H52z.00,Pneumothorax NOS,Chronic pulmonary disease
28703,ZV02C00,[V]Hepatitis C carrier,Liver disease
28727,B575000,Secondary malignant neoplasm of colon,Metastatic cancer
28735,9Oj..00,Hypothyroidism monitoring administration,Hypothyroidism
28743,66Yf.00,Number of COPD exacerbations in past year,Chronic pulmonary disease
28753,9Om0.00,Stroke/transient ischaemic attack monitoring first letter,Other neurological disorders
28755,9Oi0.00,Chronic obstructive pulmonary disease monitoring 1st letter,Chronic pulmonary disease
28756,Eu33.14,[X]Seasonal depressive disorder,Depression
28766,13cH.00,Persistent substance misuse,Drug abuse
28767,E02yz00,Other drug psychoses NOS,Psychoses
28769,66AV.00,Diabetic on insulin and oral treatment,Diabetes (uncomplicated)
28780,Eu10211,[X]Alcohol addiction,Alcohol abuse
28798,J63y100,Nonspecific reactive hepatitis,Liver disease
28840,7A4A500,Operation on aneurysm of femoral artery NEC,Peripheral vascular disease
28850,G54..11,Heart valve disorders - non rheumatic,Valvular disease
28852,C040.00,Postsurgical hypothyroidism,Hypothyroidism
28853,N04y012,Fibrosing alveolitis associated with rheumatoid arthritis,Chronic pulmonary disease
28856,8CP2.00,Transition of diabetes care options discussed,Diabetes (uncomplicated)
28863,Eu32314,[X]Single episode of reactive depressive psychosis,Depression
28871,ZV43300,[V]Has artificial heart valve,Valvular disease
28873,66Ai.00,Diabetic 6 month review,Diabetes (uncomplicated)
28881,ZV10513,[V]Personal history of malignant neoplasm of kidney,Solid tumour or leukaemia
28901,F361.00,Peroneal muscular atrophy,Other neurological disorders
28914,662o.00,Haemorrhagic stroke monitoring,Other neurological disorders
28919,B521.00,Malignant neoplasm of cerebral meninges,Solid tumour or leukaemia
28933,7934000,Percutaneous transluminal ablation of atrioventricular node,Cardiac arrythmia
28937,22K2.00,Body Mass Index high K/M2,Obesity
28941,BBQ3.00,[M]Embryonal carcinoma NOS,Solid tumour or leukaemia
28994,212R.00,Atrial fibrillation resolved,Cardiac arrythmia
29005,H530.00,Abscess of lung,Chronic pulmonary disease
29008,BB5W111,[M]Hurthle cell adenocarcinoma,Solid tumour or leukaemia
29013,1Z10.00,Chronic kidney disease stage 1,Renal disease
29021,A053.00,Amoebic liver abscess,Liver disease
29041,66AN.00,Date diabetic treatment start,Diabetes (uncomplicated)
29112,7A4B100,Percutaneous transluminal angioplasty of popliteal artery,Peripheral vascular disease
29114,A940.11,Locomotor ataxia,Other neurological disorders
29157,7936400,Removal of intravenous cardiac pacemaker system,Cardiac arrythmia
29158,G13z.00,Mitral and aortic valve disease NOS,Valvular disease
29160,B313000,Malignant neoplasm of connective and soft tissue of axilla,Solid tumour or leukaemia
29167,7930000,Open ablation of atrioventricular node,Cardiac arrythmia
29170,BB51000,[M]Adenocarcinoma in situ in villous adenoma,Solid tumour or leukaemia
29178,B614.00,"Hodgkin's disease, nodular sclerosis",Lymphoma
29283,B2zy.00,Malignant neoplasm of other site of respiratory tract,Solid tumour or leukaemia
29284,ZV10112,[V]Personal history of malignant neoplasm of lung,Solid tumour or leukaemia
29310,G22z.11,Renal hypertension,Renal disease
29317,J124.00,Recurrent duodenal ulcer,Peptic ulcer disease
29325,H331000,Intrinsic asthma without status asthmaticus,Chronic pulmonary disease
29335,BBr2700,[M]Adult T-cell leukaemia/lymphoma,Lymphoma
29337,BBVA.00,[M] Small cell osteosarcoma,Solid tumour or leukaemia
29342,E113100,"Recurrent major depressive episodes, mild",Depression
29371,328Z.00,ECG: ventricular arrhythmia NOS,Cardiac arrythmia
29372,G742100,Embolism and thrombosis of the radial artery,Peripheral vascular disease
29384,K000.00,Acute proliferative glomerulonephritis,Renal disease
29386,Eu00z00,"[X]Dementia in Alzheimer's disease, unspecified",Other neurological disorders
29446,E24z.00,Drug dependence NOS,Drug abuse
29451,Eu33213,"[X]Manic-depress psychosis,depressd,no psychotic symptoms",Depression
29462,B4Az.00,Malignant neoplasm of kidney or urinary organs NOS,Solid tumour or leukaemia
29486,D011.00,Other vitamin B12 deficiency anaemias,Deficiency anaemia
29491,G570300,Paroxysmal nodal tachycardia,Cardiac arrythmia
29515,F36y000,Supranuclear paralysis,Paralysis
29519,N000300,Systemic lupus erythematosus with organ or sys involv,Rheumatoid arthritis and collagen diseases
29520,Eu33100,"[X]Recurrent depressive disorder, current episode moderate",Depression
29524,BB34.00,"[M]Basal cell carcinoma, fibroepithelial type",Solid tumour or leukaemia
29538,66C2.00,Follow-up obesity assessment,Obesity
29554,C354900,Calcium deficiency,Fluid and electrolyte disorders
29580,BBCA.00,[M]Sertoli cell carcinoma,Solid tumour or leukaemia
29634,K013.00,Nephrotic syndrome with minimal change glomerulonephritis,Renal disease
29638,K080.00,Renal osteodystrophy,Renal disease
29645,8793,Asthma control step 0,Chronic pulmonary disease
29651,Eu23z12,[X]Reactive psychosis,Psychoses
29654,G576400,Junctional premature depolarization,Cardiac arrythmia
29657,R014000,[D]Transient monoplegia NOS,Paralysis
29669,H06..00,Acute bronchitis and bronchiolitis,Chronic pulmonary disease
29691,8G32.00,Aversion therapy - alcoholism,Alcohol abuse
29771,J11z.00,Gastric ulcer NOS,Peptic ulcer disease
29783,E02y000,Drug-induced delirium,Drug abuse
29784,Eu33000,"[X]Recurrent depressive disorder, current episode mild",Depression
29787,BB2C.00,"[M]Squamous cell carcinoma, keratinising type NOS",Solid tumour or leukaemia
29789,B935.11,Histiocytic tumour NOS,Lymphoma
29826,B342.00,Malignant neoplasm of upper-inner quadrant of female breast,Solid tumour or leukaemia
29876,B613z00,"Hodgkin's, lymphocytic-histiocytic predominance NOS",Lymphoma
29887,7914.11,Replacement of unspecified valve of heart,Valvular disease
29898,B832.00,Carcinoma in situ of other and unspecified parts of uterus,Solid tumour or leukaemia
29937,E131.00,Acute hysterical psychosis,Psychoses
29939,G600.00,Ruptured berry aneurysm,Other neurological disorders
29945,BBR4.00,"[M]Malignant teratoma, trophoblastic",Solid tumour or leukaemia
29966,C350300,Idiopathic pulmonary haemosiderosis,Chronic pulmonary disease
29973,7A22000,Percutaneous transluminal angioplasty of carotid artery,Peripheral vascular disease
29975,B804100,Carcinoma in situ of rectum,Solid tumour or leukaemia
29979,C109900,Non-insulin-dependent diabetes mellitus without complication,Diabetes (uncomplicated)
30032,E001200,Presenile dementia with paranoia,Other neurological disorders
30043,BBs4.00,[M]Idiopathic thrombocythaemia,Coagulopathy
30045,G616.00,External capsule haemorrhage,Other neurological disorders
30100,C294400,Magnesium deficiency,Fluid and electrolyte disorders
30162,Eu10513,[X]Alcoholic paranoia,Alcohol abuse
30165,B18y200,Malignant neoplasm of mesorectum,Solid tumour or leukaemia
30173,791..00,Valves of heart and adjacent structures operations,Valvular disease
30189,BB91000,[M]Intraductal papillary adenocarcinoma with invasion,Solid tumour or leukaemia
30202,G617.00,"Intracerebral haemorrhage, intraventricular",Other neurological disorders
30214,H54..00,Pulmonary congestion and hypostasis,Pulmonary circulation disorders
30235,H434.00,Siderosis,Chronic pulmonary disease
30248,G720200,Aneurysm of ulnar artery,Peripheral vascular disease
30282,ZRby100,"Profile of mood states, bipolar",Psychoses
30294,C10EL00,Type 1 diabetes mellitus with persistent microalbuminuria,Diabetes with end-organ damage
30301,K03X.00,"Unsp nephrit synd, diff mesang prolif glomerulonephritis",Renal disease
30310,K081.00,Nephrogenic diabetes insipidus,Renal disease
30322,ZV10500,[V]Personal history of malignant neoplasm of urinary organ,Solid tumour or leukaemia
30323,C10EK00,Type 1 diabetes mellitus with persistent proteinuria,Diabetes with end-organ damage
30382,9OJZ.00,Asthma monitoring admin.NOS,Chronic pulmonary disease
30402,B050.11,Malignant neoplasm of buccal mucosa,Solid tumour or leukaemia
30404,E015.00,Alcoholic paranoia,Alcohol abuse
30405,9H92.00,Depression interim review,Depression
30415,7A23800,Percutaneous coil embolisation of cerebral artery aneurysm,Peripheral vascular disease
30416,BB82111,[M]Colloid adenocarcinoma,Solid tumour or leukaemia
30443,G11z.00,Mitral valve disease NOS,Valvular disease
30458,66YR.00,Asthma monitoring by doctor,Chronic pulmonary disease
30460,Z4B1.00,Alcoholism counselling,Alcohol abuse
30465,9N4i.00,DNA - Did not attend substance misuse clinic,Drug abuse
30466,7A1A100,Percutaneous transluminal angioplasty of aorta NEC,Peripheral vascular disease
30477,F420700,High risk proliferative diabetic retinopathy,Diabetes with end-organ damage
30481,Eu55.00,[X]Abuse of non-dependence-producing substances,Drug abuse
30483,8CAa.00,Patient given advice about management of depression,Depression
30495,G742300,Embolism and thrombosis of an arm artery NOS,Peripheral vascular disease
30511,B54..00,Malig neop of other endocrine glands and related structures,Solid tumour or leukaemia
30537,F373.00,Polyneuropathy in malignant disease,Solid tumour or leukaemia
30543,B335200,Malignant neoplasm of skin of breast,Solid tumour or leukaemia
30547,ZV67700,[V]Follow-up exam after radiotherapy for malignant neoplasm,Solid tumour or leukaemia
30548,N040N00,Rheumatoid vasculitis,Rheumatoid arthritis and collagen diseases
30567,7910211,Bjork-Shiley prosthetic replacement of mitral valve,Valvular disease
30569,H121500,Pharyngitis sicca,Rheumatoid arthritis and collagen diseases
30576,B333300,Malignant neoplasm of skin of forehead,Solid tumour or leukaemia
30577,B336200,Malignant neoplasm of skin of fore-arm,Solid tumour or leukaemia
30583,9k4..00,Depression - enhanced services administration,Depression
30586,A707200,Chronic viral hepatitis C,Liver disease
30604,F25B.00,Alcohol-induced epilepsy,Alcohol abuse
30610,G541600,Aortic valve sclerosis,Valvular disease
30619,E101.00,Hebephrenic schizophrenia,Psychoses
30635,F25F.00,Photosensitive epilepsy,Other neurological disorders
30645,B333000,"Malignant neoplasm of skin of cheek, external",Solid tumour or leukaemia
30646,B6y..00,Malignant neoplasm lymphatic or haematopoietic tissue OS,Solid tumour or leukaemia
30648,9N4p.00,Did not attend diabetic retinopathy clinic,Diabetes (uncomplicated)
30655,G851.00,Oesophageal varices without bleeding,Liver disease
30679,8BAX.00,Drug dependence home detoxification,Drug abuse
30695,136T.00,Harmful alcohol use,Alcohol abuse
30700,B10z.00,Malignant neoplasm of oesophagus NOS,Solid tumour or leukaemia
30705,7918200,Annuloplasty of valve of heart NEC,Valvular disease
30706,Eu00200,"[X]Dementia in Alzheimer's dis, atypical or mixed type",Other neurological disorders
30709,7L1C000,Insertion of temporary peritoneal dialysis catheter,Renal disease
30711,ZV11500,[V]Personal history of drug abuse by injection,Drug abuse
30712,14AP.00,History of ventricular tachycardia,Cardiac arrythmia
30729,141E.00,History of hepatitis B,Liver disease
30735,6AA..00,Chronic kidney disease annual review,Renal disease
30739,9Ot0.00,Chronic kidney disease monitoring first letter,Renal disease
30747,B336.00,Malignant neoplasm of skin of upper limb and shoulder,Solid tumour or leukaemia
30749,9hH0.00,Excepted heart failure quality indicators: Patient unsuitabl,Congestive heart failure
30756,7L1A500,Continuous ambulatory peritoneal dialysis,Renal disease
30770,U60C511,[X] Adverse reaction to other antihypertensives,Hypertension (uncomplicated)
30776,6629,Hypertension:follow-up default,Hypertension (uncomplicated)
30779,662W.00,Heart failure annual review,Congestive heart failure
30815,663N000,Asthma causing night waking,Chronic pulmonary disease
30816,F25C.00,Drug-induced epilepsy,Other neurological disorders
30926,A705.00,Other specified viral hepatitis without coma,Liver disease
30966,B800600,Carcinoma in situ of palate,Solid tumour or leukaemia
30985,Eu2y.00,[X]Other nonorganic psychotic disorders,Psychoses
30987,F152100,Progressive muscular atrophy,Other neurological disorders
30988,BB1M.00,"[M]Small cell carcinoma, intermediate cell",Solid tumour or leukaemia
31004,BB2G.00,[M]Adenoid squamous cell carcinoma,Solid tumour or leukaemia
31016,Eu01300,[X]Mixed cortical and subcortical vascular dementia,Other neurological disorders
31026,BBF3.00,[M]Spindle cell sarcoma,Solid tumour or leukaemia
31053,R054300,[D]Widespread diabetic foot gangrene,Diabetes with end-organ damage
31054,N040S00,Rheumatoid arthritis - multiple joint,Rheumatoid arthritis and collagen diseases
31055,G723500,Ruptured popliteal artery aneurysm,Peripheral vascular disease
31060,G61X.00,"Intracerebral haemorrhage in hemisphere, unspecified",Other neurological disorders
31077,7L1H.13,Defibrillation,Cardiac arrythmia
31090,BBGP.00,[M]Pigmented dermatofibrosarcoma protuberans,Solid tumour or leukaemia
31102,B49z.00,Malignant neoplasm of urinary bladder NOS,Solid tumour or leukaemia
31133,G57yz00,Other cardiac dysrhythmia NOS,Cardiac arrythmia
31135,9OJ8.00,Asthma monitor phone invite,Chronic pulmonary disease
31141,9OL8.00,Diabetes monitor.phone invite,Diabetes (uncomplicated)
31156,2G5J.00,O/E - Left diabetic foot at moderate risk,Diabetes (uncomplicated)
31157,2G5F.00,O/E - Right diabetic foot at moderate risk,Diabetes (uncomplicated)
31166,D301.12,Haemophilia B,Coagulopathy
31167,66YP.00,Asthma night-time symptoms,Chronic pulmonary disease
31171,2G5G.00,O/E - Right diabetic foot at high risk,Diabetes (uncomplicated)
31172,2G5K.00,O/E - Left diabetic foot at high risk,Diabetes (uncomplicated)
31181,N045100,Juvenile seronegative polyarthritis,Rheumatoid arthritis and collagen diseases
31188,B224.00,"Malignant neoplasm of lower lobe, bronchus or lung",Solid tumour or leukaemia
31209,F396400,Myopathy due to rheumatoid arthritis,Rheumatoid arthritis and collagen diseases
31210,B150100,Hepatoblastoma of liver,Solid tumour or leukaemia
31213,9HC..00,Substance misuse monitoring,Drug abuse
31218,9Om..00,Stroke/transient ischaemic attack monitoring administration,Other neurological disorders
31225,663t.00,Asthma causes daytime symptoms 1 to 2 times per month,Chronic pulmonary disease
31240,9OL7.00,Diabetes monitor.verbal invite,Diabetes (uncomplicated)
31241,9OLZ.00,Diabetes monitoring admin.NOS,Diabetes (uncomplicated)
31268,B223.00,"Malignant neoplasm of middle lobe, bronchus or lung",Solid tumour or leukaemia
31270,D011z00,Other vitamin B12 deficiency anaemia NOS,Deficiency anaemia
31271,C363.00,Alkalosis,Fluid and electrolyte disorders
31286,3283,ECG: ventricular fibrillation,Cardiac arrythmia
31310,C108900,Insulin dependent diabetes maturity onset,Diabetes (uncomplicated)
31313,L430.00,Obstetric air pulmonary embolism,Pulmonary circulation disorders
31316,E116.00,Mixed bipolar affective disorder,Psychoses
31319,H583000,Loeffler's syndrome,Chronic pulmonary disease
31323,BBG1.00,[M]Fibrosarcoma NOS,Solid tumour or leukaemia
31329,F393.00,Familial periodic paralysis,Paralysis
31341,G24z100,Hypertension secondary to drug,Hypertension (uncomplicated)
31360,N045500,Juvenile rheumatoid arthritis,Rheumatoid arthritis and collagen diseases
31362,E103200,Chronic paranoid schizophrenia,Psychoses
31364,B050.00,Malignant neoplasm of cheek mucosa,Solid tumour or leukaemia
31369,K042.00,Acute renal medullary necrosis,Renal disease
31387,G24z000,Secondary renovascular hypertension NOS,Hypertension (uncomplicated)
31393,B160.11,Carcinoma gallbladder,Solid tumour or leukaemia
31399,B555.00,Malignant neoplasm of lower limb NOS,Solid tumour or leukaemia
31421,BBK3100,[M]Rhabdomyosarcoma NOS,Solid tumour or leukaemia
31423,H45..00,Pneumoconiosis NOS,Chronic pulmonary disease
31443,E231.00,Chronic alcoholism,Alcohol abuse
31447,H352100,Pigeon-fanciers' lung,Chronic pulmonary disease
31451,P7y0.00,Cerebrovascular system anomalies,Other neurological disorders
31460,G74y700,Embolism and thrombosis of the axillary artery,Peripheral vascular disease
31464,G21z.00,Hypertensive heart disease NOS,Hypertension with end-organ damage
31492,BBm9.00,[M] Monocytoid B-cell lymphoma,Lymphoma
31493,Eu20214,[X]Schizophrenic flexibilatis cerea,Psychoses
31505,G140000,Rheumatic tricuspid stenosis,Valvular disease
31511,B823500,Carcinoma in situ of skin of temple,Solid tumour or leukaemia
31524,F11yz00,Other cerebral degeneration NOS,Other neurological disorders
31535,E116000,"Mixed bipolar affective disorder, unspecified",Psychoses
31537,BBj1100,"[M]Hodgkin,s disease, lymphocytic predominance, nodular",Lymphoma
31546,B341.00,Malignant neoplasm of central part of female breast,Solid tumour or leukaemia
31549,7L1A.00,Compensation for renal failure,Renal disease
31551,F37X.00,"Inflammatory polyneuropathy, unspecified",Rheumatoid arthritis and collagen diseases
31560,B937.12,Idiopathic thrombocythaemia,Coagulopathy
31561,ZV67600,[V]Follow-up examination aft surgery for malignant neoplasm,Solid tumour or leukaemia
31564,H57y400,Lung disease with systemic lupus erythematosus,Rheumatoid arthritis and collagen diseases
31569,E250300,Nondependent alcohol abuse in remission,Alcohol abuse
31573,B23..00,Malignant neoplasm of pleura,Solid tumour or leukaemia
31574,BBb0.00,"[M]Glioma, malignant",Solid tumour or leukaemia
31576,B627B00,Other types of follicular non-Hodgkin's lymphoma,Lymphoma
31581,K0A0.00,Acute nephritic syndrome,Renal disease
31595,G610.00,Cortical haemorrhage,Other neurological disorders
31608,B43y.00,Malignant neoplasm of other site of uterine body,Solid tumour or leukaemia
31609,BBC4.00,"[M]Granulosa cell tumour, malignant",Solid tumour or leukaemia
31612,C03y000,Congenital hypothyroidism with diffuse goitre,Hypothyroidism
31613,7A13.00,Emergency replacement of aneurysmal segment of aorta,Peripheral vascular disease
31633,Eu3z.11,[X]Affective psychosis NOS,Psychoses
31673,BBX1.12,"[M]Osteoclastoma, malignant",Solid tumour or leukaemia
31690,G57yA00,Re-entry ventricular arrhythmia,Cardiac arrythmia
31700,B222000,Malignant neoplasm of upper lobe bronchus,Solid tumour or leukaemia
31704,G677.00,Occlusion/stenosis cerebral arts not result cerebral infarct,Other neurological disorders
31707,Eu23z11,[X]Brief reactive psychosis NOS,Psychoses
31722,H46..00,Respiratory disease due to chemical fumes and vapours,Chronic pulmonary disease
31723,7A28000,Percutaneous transluminal angioplasty of subclavian artery,Peripheral vascular disease
31724,N04y000,Rheumatoid lung,Rheumatoid arthritis and collagen diseases
31726,BBgM.00,"[M]Malignant lymphoma, small cleaved cell, diffuse",Lymphoma
31727,G133.00,Mitral and aortic incompetence,Valvular disease
31738,Eu2y.11,[X]Chronic hallucinatory psychosis,Psychoses
31741,BBj6200,"[M]Hodgkin,s disease, nodular sclerosis, lymphocytic deplet",Lymphoma
31742,F394100,Alcoholic myopathy,Alcohol abuse
31749,BBv0.00,[M]Monocytoid B-cell lymphoma,Lymphoma
31755,G240.00,Secondary malignant hypertension,Hypertension (uncomplicated)
31757,Eu33314,[X]Recurr severe episodes/psychogenic depressive psychosis,Depression
31759,G132.12,Mitral incompetence and aortic stenosis,Valvular disease
31772,BBGM.00,[M]Dermatofibrosarcoma NOS,Solid tumour or leukaemia
31790,F372.00,Polyneuropathy in diabetes,Diabetes with end-organ damage
31794,B627W00,Unspecified B-cell non-Hodgkin's lymphoma,Lymphoma
31802,C28X.00,Sequelae of unspecified nutritional deficiency,Weight loss
31805,G62..00,Other and unspecified intracranial haemorrhage,Other neurological disorders
31806,H56..00,Other alveolar and parietoalveolar disease,Chronic pulmonary disease
31809,G576500,Ventricular premature depolarization,Cardiac arrythmia
31816,G672.11,Hypertensive crisis,Hypertension with end-organ damage
31818,BBK2.00,[M]Myoma and myosarcoma,Solid tumour or leukaemia
31822,7A15.00,Other emergency bypass of segment of aorta,Peripheral vascular disease
31830,F250300,Epileptic seizures - akinetic,Other neurological disorders
31838,C363000,Metabolic alkalosis,Fluid and electrolyte disorders
31839,G540200,Mitral valve prolapse,Valvular disease
31860,B810600,Carcinoma in situ of aryepiglottic fold,Solid tumour or leukaemia
31876,G72y000,Aneurysm of common carotid art,Peripheral vascular disease
31877,Eu05212,[X]Schizophrenia-like psychosis in epilepsy,Psychoses
31883,G42..11,Pulmonary vessel disease,Pulmonary circulation disorders
31892,F11..00,Other cerebral degenerations,Other neurological disorders
31893,B803600,Carcinoma in situ of ascending colon,Solid tumour or leukaemia
