prodcodeid,bnfchapter,termfromemis,drugsubstancename,productname,bb,ace,arb,arnie,mra,sglti,loop
"775441000033117","2050502","irbesartan 150mg tablets","irbesartan","irbesartan 150mg tablets",,,1,,,,
"6180641000033112","","sevikar hct 20mg/5mg/12.5mg tablets (daiichi sankyo uk ltd)","amlodipine besilate/ hydrochlorothiazide/ olmesartan medoxomil","sevikar hct 20mg/5mg/12.5mg tablets",,,1,,,,
"211641000033118","2050502","candesartan 2mg tablets","candesartan cilexetil","candesartan 2mg tablets",,,1,,,,
"437841000033117","","diovan 80mg capsules (novartis pharmaceuticals uk ltd)","valsartan","diovan 80mg capsules",,,1,,,,
"5970641000033117","2050502","irbesartan 150mg/5ml oral suspension","irbesartan","irbesartan 150mg/5ml oral suspension",,,1,,,,
"5971841000033114","2050502","losartan 100mg/5ml oral suspension","losartan potassium","losartan 100mg/5ml oral suspension",,,1,,,,
"3152541000033112","","co-diovan 160mg/12.5mg tablets (novartis pharmaceuticals uk ltd)","hydrochlorothiazide/ valsartan","co-diovan 160mg/12.5mg tablets",,,1,,,,
"7755241000033119","","edarbi 40mg tablets (takeda uk ltd)","azilsartan medoxomil potassium","edarbi 40mg tablets",,,1,,,,
"4424941000033113","2050502","valsartan 320mg tablets","valsartan","valsartan 320mg tablets",,,1,,,,
"3908941000033112","2050502","olmesartan medoxomil 20mg / hydrochlorothiazide 12.5mg tablets","hydrochlorothiazide/ olmesartan medoxomil","olmesartan medoxomil 20mg / hydrochlorothiazide 12.5mg tablets",,,1,,,,
"9159341000033112","","actelsar hct 40mg/12.5mg tablets (actavis uk ltd)","hydrochlorothiazide/ telmisartan","actelsar hct 40mg/12.5mg tablets",,,1,,,,
"59241000033118","","amias 2mg tablets (neon healthcare ltd)","candesartan cilexetil","amias 2mg tablets",,,1,,,,
"7755041000033110","2050502","azilsartan medoxomil 80mg tablets","azilsartan medoxomil potassium","azilsartan medoxomil 80mg tablets",,,1,,,,
"9292641000033116","","tolucombi 40mg/12.5mg tablets (krka uk ltd)","hydrochlorothiazide/ telmisartan","tolucombi 40mg/12.5mg tablets",,,1,,,,
"3995241000033112","2050502","irbesartan 300mg / hydrochlorothiazide 25mg tablets","hydrochlorothiazide/ irbesartan","irbesartan 300mg / hydrochlorothiazide 25mg tablets",,,1,,,,
"851941000033113","2050502","losartan 50mg tablets","losartan potassium","losartan 50mg tablets",,,1,,,,
"9292841000033115","","tolucombi 80mg/25mg tablets (krka uk ltd)","hydrochlorothiazide/ telmisartan","tolucombi 80mg/25mg tablets",,,1,,,,
"9292741000033113","","tolucombi 80mg/12.5mg tablets (krka uk ltd)","hydrochlorothiazide/ telmisartan","tolucombi 80mg/12.5mg tablets",,,1,,,,
"9159441000033118","","actelsar hct 80mg/12.5mg tablets (actavis uk ltd)","hydrochlorothiazide/ telmisartan","actelsar hct 80mg/12.5mg tablets",,,1,,,,
"5006341000033113","","sevikar 40mg/10mg tablets (daiichi sankyo uk ltd)","amlodipine besilate/ olmesartan medoxomil","sevikar 40mg/10mg tablets",,,1,,,,
"2944941000033117","","olmetec 20mg tablets (daiichi sankyo uk ltd)","olmesartan medoxomil","olmetec 20mg tablets",,,1,,,,
"1849541000033118","2050502","telmisartan 40mg tablets","telmisartan","telmisartan 40mg tablets",,,1,,,,
"5971741000033116","2050502","losartan 100mg/5ml oral solution","losartan potassium","losartan 100mg/5ml oral solution",,,1,,,,
"8554141000033116","","ifirmasta 75mg tablets (krka uk ltd)","irbesartan","ifirmasta 75mg tablets",,,1,,,,
"2216241000033110","","coaprovel 300mg/12.5mg tablets (sanofi)","hydrochlorothiazide/ irbesartan","coaprovel 300mg/12.5mg tablets",,,1,,,,
"59441000033117","","amias 8mg tablets (neon healthcare ltd)","candesartan cilexetil","amias 8mg tablets",,,1,,,,
"3201341000033115","2050502","valsartan 40mg tablets","valsartan","valsartan 40mg tablets",,,1,,,,
"6528541000033114","","diovan 3mg/1ml oral solution (novartis pharmaceuticals uk ltd)","valsartan","diovan 3mg/1ml oral solution",,,1,,,,
"2945041000033117","","olmetec 40mg tablets (daiichi sankyo uk ltd)","olmesartan medoxomil","olmetec 40mg tablets",,,1,,,,
"5566441000033117","","olmetec plus 40mg/12.5mg tablets (daiichi sankyo uk ltd)","hydrochlorothiazide/ olmesartan medoxomil","olmetec plus 40mg/12.5mg tablets",,,1,,,,
"4425041000033113","","diovan 320mg tablets (novartis pharmaceuticals uk ltd)","valsartan","diovan 320mg tablets",,,1,,,,
"4021441000033114","2060200","amlodipine 5mg / valsartan 80mg tablets","amlodipine besilate/ valsartan","amlodipine 5mg / valsartan 80mg tablets",,,1,,,,
"2720241000033110","","cozaar 100mg tablets (organon pharma (uk) ltd)","losartan potassium","cozaar 100mg tablets",,,1,,,,
"3201441000033114","","diovan 40mg tablets (novartis pharmaceuticals uk ltd)","valsartan","diovan 40mg tablets",,,1,,,,
"6180941000033117","","sevikar hct 40mg/5mg/25mg tablets (daiichi sankyo uk ltd)","amlodipine besilate/ hydrochlorothiazide/ olmesartan medoxomil","sevikar hct 40mg/5mg/25mg tablets",,,1,,,,
"4957641000033110","","cozaar 12.5mg tablets (organon pharma (uk) ltd)","losartan potassium","cozaar 12.5mg tablets",,,1,,,,
"59341000033111","","amias 4mg tablets (neon healthcare ltd)","candesartan cilexetil","amias 4mg tablets",,,1,,,,
"6515541000033114","2050502","valsartan 160mg tablets","valsartan","valsartan 160mg tablets",,,1,,,,
"2036541000033110","2050502","eprosartan 600mg tablets","eprosartan mesilate","eprosartan 600mg tablets",,,1,,,,
"7755341000033112","","edarbi 80mg tablets (takeda uk ltd)","azilsartan medoxomil potassium","edarbi 80mg tablets",,,1,,,,
"2864341000033117","","micardisplus 80mg/12.5mg tablets (boehringer ingelheim ltd)","hydrochlorothiazide/ telmisartan","micardisplus 80mg/12.5mg tablets",,,1,,,,
"5006041000033111","2050502","olmesartan medoxomil 40mg / amlodipine 10mg tablets","amlodipine besilate/ olmesartan medoxomil","olmesartan medoxomil 40mg / amlodipine 10mg tablets",,,1,,,,
"3162741000033111","2050502","telmisartan 80mg / hydrochlorothiazide 12.5mg tablets","hydrochlorothiazide/ telmisartan","telmisartan 80mg / hydrochlorothiazide 12.5mg tablets",,,1,,,,
"9209441000033110","","tolura 40mg tablets (krka uk ltd)","telmisartan","tolura 40mg tablets",,,1,,,,
"3227241000033111","2050502","candesartan 32mg tablets","candesartan cilexetil","candesartan 32mg tablets",,,1,,,,
"437741000033110","","diovan 40mg capsules (novartis pharmaceuticals uk ltd)","valsartan","diovan 40mg capsules",,,1,,,,
"6528441000033113","2050502","valsartan 3mg/ml oral solution","valsartan","valsartan 3mg/ml oral solution",,,1,,,,
"9159541000033117","","actelsar hct 80mg/25mg tablets (accord-uk ltd)","hydrochlorothiazide/ telmisartan","actelsar hct 80mg/25mg tablets",,,1,,,,
"6181041000033110","","sevikar hct 40mg/10mg/25mg tablets (daiichi sankyo uk ltd)","amlodipine besilate/ hydrochlorothiazide/ olmesartan medoxomil","sevikar hct 40mg/10mg/25mg tablets",,,1,,,,
"6515441000033113","2050502","valsartan 80mg tablets","valsartan","valsartan 80mg tablets",,,1,,,,
"4548841000033118","","micardisplus 80mg/25mg tablets (boehringer ingelheim ltd)","hydrochlorothiazide/ telmisartan","micardisplus 80mg/25mg tablets",,,1,,,,
"5006141000033110","","sevikar 20mg/5mg tablets (daiichi sankyo uk ltd)","amlodipine besilate/ olmesartan medoxomil","sevikar 20mg/5mg tablets",,,1,,,,
"2216141000033115","","coaprovel 150mg/12.5mg tablets (sanofi)","hydrochlorothiazide/ irbesartan","coaprovel 150mg/12.5mg tablets",,,1,,,,
"3909241000033111","","olmetec plus 20mg/25mg tablets (daiichi sankyo uk ltd)","hydrochlorothiazide/ olmesartan medoxomil","olmetec plus 20mg/25mg tablets",,,1,,,,
"3909041000033115","2050502","olmesartan medoxomil 20mg / hydrochlorothiazide 25mg tablets","hydrochlorothiazide/ olmesartan medoxomil","olmesartan medoxomil 20mg / hydrochlorothiazide 25mg tablets",,,1,,,,
"5972041000033112","2050502","losartan 50mg/5ml oral suspension","losartan potassium","losartan 50mg/5ml oral suspension",,,1,,,,
"10943941000033112","","entresto 24mg/26mg tablets (novartis pharmaceuticals uk ltd)","sacubitril/ valsartan","entresto 24mg/26mg tablets",,,,1,,,
"10943641000033117","2050502","sacubitril 24mg / valsartan 26mg tablets","sacubitril/ valsartan","sacubitril 24mg / valsartan 26mg tablets",,,,1,,,
"10944141000033113","","entresto 97mg/103mg tablets (novartis pharmaceuticals uk ltd)","sacubitril/ valsartan","entresto 97mg/103mg tablets",,,,1,,,
"10943841000033116","2050502","sacubitril 97mg / valsartan 103mg tablets","sacubitril/ valsartan","sacubitril 97mg / valsartan 103mg tablets",,,,1,,,
"10944041000033114","","entresto 49mg/51mg tablets (novartis pharmaceuticals uk ltd)","sacubitril/ valsartan","entresto 49mg/51mg tablets",,,,1,,,
"10943741000033114","2050502","sacubitril 49mg / valsartan 51mg tablets","sacubitril/ valsartan","sacubitril 49mg / valsartan 51mg tablets",,,,1,,,
"808841000033119","","lasilactone 20mg/50mg capsules (sanofi)","furosemide/ spironolactone","lasilactone 20mg/50mg capsules",,,,,1,,1
"3162541000033115","2020400","spironolactone 50mg / furosemide 20mg capsules","","",,,,,1,,1
"9278541000033112","2020400","spironolactone 3mg / chlorothiazide 30mg capsules","chlorothiazide/ spironolactone","spironolactone 3mg / chlorothiazide 30mg capsules",,,,,1,,
"1371241000033116","2020300","spironolactone 10mg/5ml oral suspension","spironolactone","spironolactone 10mg/5ml oral suspension",,,,,1,,
"5975441000033113","2020300","spironolactone 15mg/5ml oral suspension","spironolactone","spironolactone 15mg/5ml oral suspension",,,,,1,,
"40341000033117","","aldactide 50 tablets (pfizer ltd)","hydroflumethiazide/ spironolactone","aldactide 50 tablets",,,,,1,,
"1374141000033113","2020300","spironolactone 100mg tablets","spironolactone","spironolactone 100mg tablets",,,,,1,,
"377041000033116","2020400","co-flumactone 25mg/25mg tablets","hydroflumethiazide/ spironolactone","co-flumactone 25mg/25mg tablets",,,,,1,,
"3198941000033113","2020300","eplerenone 50mg tablets","eplerenone","eplerenone 50mg tablets",,,,,1,,
"1371141000033111","2020300","spironolactone 5mg/5ml oral suspension","spironolactone","spironolactone 5mg/5ml oral suspension",,,,,1,,
"5393041000033115","","chlorothiazide and spironolactone  capsules  250 mg + 25 mg","","",,,,,1,,
"40541000033112","","aldactone 25mg tablets (pfizer ltd)","spironolactone","aldactone 25mg tablets",,,,,1,,
"1374241000033118","2020300","spironolactone 25mg tablets","spironolactone","spironolactone 25mg tablets",,,,,1,,
"1374341000033111","2020300","spironolactone 50mg tablets","spironolactone","spironolactone 50mg tablets",,,,,1,,
"2011541000033114","2020300","spironolactone 100mg/5ml oral suspension","spironolactone","spironolactone 100mg/5ml oral suspension",,,,,1,,
"1371041000033112","2020300","spironolactone 25mg/5ml oral suspension","spironolactone","spironolactone 25mg/5ml oral suspension",,,,,1,,
"5975541000033114","2020300","spironolactone 250mg/5ml oral solution","spironolactone","spironolactone 250mg/5ml oral solution",,,,,1,,
"5999241000033116","2020300","spironolactone 10mg/5ml oral solution","spironolactone","spironolactone 10mg/5ml oral solution",,,,,1,,
"1371341000033114","2020300","spironolactone 50mg/5ml oral suspension","spironolactone","spironolactone 50mg/5ml oral suspension",,,,,1,,
"3198841000033117","2020300","eplerenone 25mg tablets","eplerenone","eplerenone 25mg tablets",,,,,1,,
"13777741000033113","2020300","spironolactone 12.5mg tablets","spironolactone","spironolactone 12.5mg tablets",,,,,1,,
"5890141000033112","2020300","spironolactone 25mg/5ml oral solution","spironolactone","spironolactone 25mg/5ml oral solution",,,,,1,,
"5975641000033110","2020300","spironolactone 250mg/5ml oral suspension","spironolactone","spironolactone 250mg/5ml oral suspension",,,,,1,,
"5999141000033111","2020300","spironolactone 100mg/5ml oral solution","spironolactone","spironolactone 100mg/5ml oral solution",,,,,1,,
"1368341000033110","","spironolactone  capsules  100 mg","","",,,,,1,,
"7681541000033117","2020400","spironolactone 4mg / chlorothiazide 40mg capsules","chlorothiazide/ spironolactone","spironolactone 4mg / chlorothiazide 40mg capsules",,,,,1,,
"377141000033117","2020400","co-flumactone 50mg/50mg tablets","hydroflumethiazide/ spironolactone","co-flumactone 50mg/50mg tablets",,,,,1,,
"40241000033110","","aldactide 25 tablets (pfizer ltd)","hydroflumethiazide/ spironolactone","aldactide 25 tablets",,,,,1,,
"1374541000033116","","spirospare 100 tablets (ashbourne pharmaceuticals ltd)","spironolactone","spirospare 100 tablets",,,,,1,,
"3199041000033116","","inspra 25mg tablets (viatris uk healthcare ltd)","eplerenone","inspra 25mg tablets",,,,,1,,
"5999341000033114","2020300","spironolactone 5mg/5ml oral solution","spironolactone","spironolactone 5mg/5ml oral solution",,,,,1,,
"5890441000033116","2020300","spironolactone 50mg/5ml oral solution","spironolactone","spironolactone 50mg/5ml oral solution",,,,,1,,
"40441000033111","","aldactone 100mg tablets (pfizer ltd)","spironolactone","aldactone 100mg tablets",,,,,1,,
"40641000033113","","aldactone 50mg tablets (pfizer ltd)","spironolactone","aldactone 50mg tablets",,,,,1,,
"3199141000033117","","inspra 50mg tablets (viatris uk healthcare ltd)","eplerenone","inspra 50mg tablets",,,,,1,,
"13116741000033112","6010203","empagliflozin 10mg / linagliptin 5mg tablets","empagliflozin/ linagliptin","empagliflozin 10mg / linagliptin 5mg tablets",,,,,,1,
"12881141000033119","","steglatro 5mg tablets (merck sharp & dohme (uk) ltd)","ertugliflozin l-pyroglutamic acid","steglatro 5mg tablets",,,,,,1,
"8199441000033112","6010203","dapagliflozin 10mg tablets","dapagliflozin propanediol monohydrate","dapagliflozin 10mg tablets",,,,,,1,
"8199641000033114","","forxiga 10mg tablets (astrazeneca uk ltd)","dapagliflozin propanediol monohydrate","forxiga 10mg tablets",,,,,,1,
"9851541000033114","6010203","canagliflozin 50mg / metformin 1g tablets","canagliflozin hemihydrate/ metformin hydrochloride","canagliflozin 50mg / metformin 1g tablets",,,,,,1,
"8199541000033113","","forxiga 5mg tablets (astrazeneca uk ltd)","dapagliflozin propanediol monohydrate","forxiga 5mg tablets",,,,,,1,
"10614441000033112","6010203","empagliflozin 12.5mg / metformin 1g tablets","empagliflozin/ metformin hydrochloride","empagliflozin 12.5mg / metformin 1g tablets",,,,,,1,
"10614141000033116","6010203","empagliflozin 5mg / metformin 850mg tablets","empagliflozin/ metformin hydrochloride","empagliflozin 5mg / metformin 850mg tablets",,,,,,1,
"9106041000033110","6010203","dapagliflozin 5mg / metformin 1g tablets","dapagliflozin propanediol monohydrate/ metformin hydrochloride","dapagliflozin 5mg / metformin 1g tablets",,,,,,1,
"10614641000033114","","synjardy 5mg/1000mg tablets (boehringer ingelheim ltd)","empagliflozin/ metformin hydrochloride","synjardy 5mg/1000mg tablets",,,,,,1,
"9110441000033118","6010203","canagliflozin 300mg tablets","canagliflozin hemihydrate","canagliflozin 300mg tablets",,,,,,1,
"12880941000033111","6010203","ertugliflozin 5mg tablets","ertugliflozin l-pyroglutamic acid","ertugliflozin 5mg tablets",,,,,,1,
"12881041000033118","6010203","ertugliflozin 15mg tablets","ertugliflozin l-pyroglutamic acid","ertugliflozin 15mg tablets",,,,,,1,
"9851841000033111","","vokanamet 50mg/1000mg tablets (napp pharmaceuticals ltd)","canagliflozin hemihydrate/ metformin hydrochloride","vokanamet 50mg/1000mg tablets",,,,,,1,
"9336841000033118","6010203","empagliflozin 25mg tablets","empagliflozin","empagliflozin 25mg tablets",,,,,,1,
"10614741000033117","","synjardy 12.5mg/850mg tablets (boehringer ingelheim ltd)","empagliflozin/ metformin hydrochloride","synjardy 12.5mg/850mg tablets",,,,,,1,
"10614541000033113","","synjardy 5mg/850mg tablets (boehringer ingelheim ltd)","empagliflozin/ metformin hydrochloride","synjardy 5mg/850mg tablets",,,,,,1,
"9106341000033112","","xigduo 5mg/850mg tablets (astrazeneca uk ltd)","dapagliflozin propanediol monohydrate/ metformin hydrochloride","xigduo 5mg/850mg tablets",,,,,,1,
"11898041000033111","6010203","saxagliptin 5mg / dapagliflozin 10mg tablets","dapagliflozin propanediol monohydrate/ saxagliptin hydrochloride","saxagliptin 5mg / dapagliflozin 10mg tablets",,,,,,1,
"9106141000033114","6010203","dapagliflozin 5mg / metformin 850mg tablets","dapagliflozin propanediol monohydrate/ metformin hydrochloride","dapagliflozin 5mg / metformin 850mg tablets",,,,,,1,
"13116941000033110","","glyxambi 10mg/5mg tablets (boehringer ingelheim ltd)","empagliflozin/ linagliptin","glyxambi 10mg/5mg tablets",,,,,,1,
"9110641000033116","","invokana 300mg tablets (napp pharmaceuticals ltd)","canagliflozin hemihydrate","invokana 300mg tablets",,,,,,1,
"9106241000033119","","xigduo 5mg/1000mg tablets (astrazeneca uk ltd)","dapagliflozin propanediol monohydrate/ metformin hydrochloride","xigduo 5mg/1000mg tablets",,,,,,1,
"9337241000033119","","jardiance 25mg tablets (boehringer ingelheim ltd)","empagliflozin","jardiance 25mg tablets",,,,,,1,
"9851741000033118","","vokanamet 50mg/850mg tablets (napp pharmaceuticals ltd)","canagliflozin hemihydrate/ metformin hydrochloride","vokanamet 50mg/850mg tablets",,,,,,1,
"9110341000033112","6010203","canagliflozin 100mg tablets","canagliflozin hemihydrate","canagliflozin 100mg tablets",,,,,,1,
"8199341000033118","6010203","dapagliflozin 5mg tablets","dapagliflozin propanediol monohydrate","dapagliflozin 5mg tablets",,,,,,1,
"12881241000033114","","steglatro 15mg tablets (merck sharp & dohme (uk) ltd)","ertugliflozin l-pyroglutamic acid","steglatro 15mg tablets",,,,,,1,
"9337141000033114","","jardiance 10mg tablets (boehringer ingelheim ltd)","empagliflozin","jardiance 10mg tablets",,,,,,1,
"11898141000033110","","qtern 5mg/10mg tablets (astrazeneca uk ltd)","dapagliflozin propanediol monohydrate/ saxagliptin hydrochloride","qtern 5mg/10mg tablets",,,,,,1,
"10614341000033118","6010203","empagliflozin 12.5mg / metformin 850mg tablets","empagliflozin/ metformin hydrochloride","empagliflozin 12.5mg / metformin 850mg tablets",,,,,,1,
"9851641000033110","6010203","canagliflozin 50mg / metformin 850mg tablets","canagliflozin hemihydrate/ metformin hydrochloride","canagliflozin 50mg / metformin 850mg tablets",,,,,,1,
"9336641000033119","6010203","empagliflozin 10mg tablets","empagliflozin","empagliflozin 10mg tablets",,,,,,1,
"10614841000033110","","synjardy 12.5mg/1000mg tablets (boehringer ingelheim ltd)","empagliflozin/ metformin hydrochloride","synjardy 12.5mg/1000mg tablets",,,,,,1,
"13117041000033111","","glyxambi 25mg/5mg tablets (boehringer ingelheim ltd)","empagliflozin/ linagliptin","glyxambi 25mg/5mg tablets",,,,,,1,
"13116841000033119","6010203","empagliflozin 25mg / linagliptin 5mg tablets","empagliflozin/ linagliptin","empagliflozin 25mg / linagliptin 5mg tablets",,,,,,1,
"10614241000033111","6010203","empagliflozin 5mg / metformin 1g tablets","empagliflozin/ metformin hydrochloride","empagliflozin 5mg / metformin 1g tablets",,,,,,1,
"9110541000033117","","invokana 100mg tablets (napp pharmaceuticals ltd)","canagliflozin hemihydrate","invokana 100mg tablets",,,,,,1,
"5710441000033117","2020400","co-amilofruse 5mg/40mg/5ml oral suspension","amiloride hydrochloride/ furosemide","co-amilofruse 5mg/40mg/5ml oral suspension",,,,,,,1
"470541000033117","","diumide-k continus tablets (teofarma s.r.l.)","furosemide/ potassium chloride","diumide-k continus tablets",,,,,,,1
"172441000033118","2020200","bumetanide 1mg tablets","","",,,,,,,1
"3091841000033115","2020200","furosemide 20mg/2ml solution for injection ampoules","furosemide","furosemide 20mg/2ml solution for injection ampoules",,,,,,,1
"1450141000033111","2020200","torasemide 10mg tablets","","",,,,,,,1
"3161841000033110","2020800","furosemide 40mg / potassium chloride 600mg (potassium 8mmol) modified-release tablets","furosemide/ potassium chloride","furosemide 40mg / potassium chloride 600mg (potassium 8mmol) modified-release tablets",,,,,,,1
"172341000033112","","burinex a 5mg/1mg tablets (leo pharma)","amiloride hydrochloride/ bumetanide","burinex a 5mg/1mg tablets",,,,,,,1
"172841000033115","","burinex 5mg tablets (leo pharma)","bumetanide","burinex 5mg tablets",,,,,,,1
"812041000033114","","lasix 5mg/5ml oral solution (borg medicare)","furosemide","lasix 5mg/5ml oral solution",,,,,,,1
"172541000033117","2020200","bumetanide 5mg tablets","","",,,,,,,1
"614641000033117","","frumil 40mg/5mg tablets (sanofi)","amiloride hydrochloride/ furosemide","frumil 40mg/5mg tablets",,,,,,,1
"1449841000033111","","torem 10mg tablets (viatris uk healthcare ltd)","torasemide","torem 10mg tablets",,,,,,,1
"614341000033113","","frumil ls 20mg/2.5mg tablets (sanofi)","amiloride hydrochloride/ furosemide","frumil ls 20mg/2.5mg tablets",,,,,,,1
"3092041000033117","2020200","furosemide 40mg/5ml oral solution sugar free","furosemide","furosemide 40mg/5ml oral solution sugar free",,,,,,,1
"3091741000033113","2020200","furosemide 50mg/5ml solution for injection ampoules","furosemide","furosemide 50mg/5ml solution for injection ampoules",,,,,,,1
"3924941000033113","2020200","furosemide 5mg/5ml oral solution","furosemide","furosemide 5mg/5ml oral solution",,,,,,,1
"615041000033112","","frusene 50mg/40mg tablets (orion pharma (uk) ltd)","furosemide/ triamterene","frusene 50mg/40mg tablets",,,,,,,1
"1845741000033111","2020800","bumetanide 500microgram / potassium chloride 573mg (potassium 7.7mmol) modified-release tablets","bumetanide/ potassium chloride","bumetanide 500microgram / potassium chloride 573mg (potassium 7.7mmol) modified-release tablets",,,,,,,1
"615241000033116","","fru-co 5mg/40mg tablets (teva uk ltd)","amiloride hydrochloride/ furosemide","fru-co 5mg/40mg tablets",,,,,,,1
"3162441000033116","2020800","furosemide 20mg / potassium chloride 750mg (potassium 10mmol) modified-release tablets","furosemide/ potassium chloride","furosemide 20mg / potassium chloride 750mg (potassium 10mmol) modified-release tablets",,,,,,,1
"3092741000033119","2020400","triamterene 50mg / furosemide 40mg tablets","","",,,,,,,1
"3954441000033119","2020200","furosemide 250mg/25ml solution for injection ampoules","furosemide","furosemide 250mg/25ml solution for injection ampoules",,,,,,,1
"1450341000033114","2020200","torasemide 5mg tablets","","",,,,,,,1
"10713941000033113","2020200","bumetanide 5mg/5ml oral suspension","bumetanide","bumetanide 5mg/5ml oral suspension",,,,,,,1
"615541000033119","","froop 40mg tablets (ashbourne pharmaceuticals ltd)","furosemide","froop 40mg tablets",,,,,,,1
"169041000033112","2020200","bumetanide 1mg/5ml oral solution sugar free","","",,,,,,,1
"1611441000033117","","froop co 5mg/40mg tablets (ashbourne pharmaceuticals ltd)","amiloride hydrochloride/ furosemide","froop co 5mg/40mg tablets",,,,,,,1
"811841000033111","","lasix 20mg/2ml solution for injection ampoules (sanofi)","furosemide","lasix 20mg/2ml solution for injection ampoules",,,,,,,1
"3092241000033113","2020200","furosemide 20mg tablets","","",,,,,,,1
"3092541000033110","2020200","furosemide 80mg/8ml solution for injection pre-filled syringes","furosemide","furosemide 80mg/8ml solution for injection pre-filled syringes",,,,,,,1
"1449941000033115","","torem 2.5mg tablets (viatris uk healthcare ltd)","torasemide","torem 2.5mg tablets",,,,,,,1
"615141000033111","","frusid 40mg tablets (dr reddy's laboratories (uk) ltd)","furosemide","frusid 40mg tablets",,,,,,,1
"816141000033114","","lasikal modified-release tablets (borg medicare)","furosemide/ potassium chloride","lasikal modified-release tablets",,,,,,,1
"172741000033113","","burinex 1mg tablets (leo pharma)","bumetanide","burinex 1mg tablets",,,,,,,1
"171941000033116","","bumetanide k  tablets  ","","",,,,,,,1
"1731641000033119","","frusol 40mg/5ml oral solution (rosemont pharmaceuticals ltd)","furosemide","frusol 40mg/5ml oral solution",,,,,,,1
"167341000033118","","bumetanide  injection  500 micrograms/ml","","",,,,,,,1
"816541000033117","","lasix 500mg tablets (sanofi)","furosemide","lasix 500mg tablets",,,,,,,1
"1845641000033119","2020400","amiloride 5mg / bumetanide 1mg tablets","","",,,,,,,1
"816441000033118","","lasix 40mg tablets (sanofi)","furosemide","lasix 40mg tablets",,,,,,,1
"3091941000033111","2020200","furosemide 20mg/5ml oral solution sugar free","furosemide","furosemide 20mg/5ml oral solution sugar free",,,,,,,1
"1450041000033112","","torem 5mg tablets (viatris uk healthcare ltd)","torasemide","torem 5mg tablets",,,,,,,1
"1731741000033111","","frusol 50mg/5ml oral solution (rosemont pharmaceuticals ltd)","furosemide","frusol 50mg/5ml oral solution",,,,,,,1
"615641000033118","","frumil forte 10mg/80mg tablets (sanofi)","amiloride hydrochloride/ furosemide","frumil forte 10mg/80mg tablets",,,,,,,1
"5993341000033112","2020200","furosemide 5mg/5ml oral suspension","furosemide","furosemide 5mg/5ml oral suspension",,,,,,,1
"172941000033111","","burinex k modified-release tablets (leo pharma)","bumetanide/ potassium chloride","burinex k modified-release tablets",,,,,,,1
"3092641000033111","","furosemide 80mg/8ml solution for injection minijet pre-filled syringes (ucb pharma ltd)","furosemide","furosemide 80mg/8ml solution for injection minijet pre-filled syringes",,,,,,,1
"816341000033112","","lasix 20mg tablets (borg medicare)","furosemide","lasix 20mg tablets",,,,,,,1
"1450241000033116","2020200","torasemide 2.5mg tablets","","",,,,,,,1
"3092441000033114","2020200","furosemide 500mg tablets","","",,,,,,,1
"1731541000033115","","frusol 20mg/5ml oral solution (rosemont pharmaceuticals ltd)","furosemide","frusol 20mg/5ml oral solution",,,,,,,1
"818941000033112","","lasoride 5mg/40mg tablets (sanofi)","amiloride hydrochloride/ furosemide","lasoride 5mg/40mg tablets",,,,,,,1
"3092341000033115","2020200","furosemide 40mg tablets","","",,,,,,,1
"3092141000033118","2020200","furosemide 50mg/5ml oral solution sugar free","furosemide","furosemide 50mg/5ml oral solution sugar free",,,,,,,1
"3858741000033112","2020200","bumetanide 2mg/4ml solution for injection ampoules","bumetanide","bumetanide 2mg/4ml solution for injection ampoules",,,,,,,1
"11414341000033114","","nanopass hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/32.5gauge (terumo uk ltd)","","nanopass hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/32.5gauge",,,,,,,
"1672941000033110","6010203","repaglinide 500microgram tablets","repaglinide","repaglinide 500microgram tablets",,,,,,,
"1862041000033113","6010101","insulin aspart 100units/ml solution for injection 3ml cartridges","insulin aspart","insulin aspart 100units/ml solution for injection 3ml cartridges",,,,,,,
"14008941000033119","","novopen echo plus hypodermic insulin injection pen reusable for 3ml cartridge 0.5 unit dial up / range 0.5-30 units red (novo nordisk ltd)","","novopen echo plus hypodermic insulin injection pen reusable for 3ml cartridge 0.5 unit dial up / range 0.5-30 units",,,,,,,
"145941000033117","2120000","bezafibrate 400mg modified-release tablets","bezafibrate","bezafibrate 400mg modified-release tablets",,,,,,,
"13753341000033115","","trulicity 3mg/0.5ml solution for injection pre-filled pens (eli lilly and company ltd)","dulaglutide","trulicity 3mg/0.5ml solution for injection pre-filled pens",,,,,,,
"2954041000033116","","mixtard 30 penfill 100units/ml suspension for injection 3ml cartridges (novo nordisk ltd)","insulin isophane human/ insulin soluble human","mixtard 30 penfill 100units/ml suspension for injection 3ml cartridges",,,,,,,
"2874641000033118","","humapen ergo hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-60 units teal (eli lilly and company ltd)","","humapen ergo hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-60 units",,,,,,,
"5990541000033112","2120000","atorvastatin 20mg/5ml oral solution","atorvastatin calcium trihydrate","atorvastatin 20mg/5ml oral solution",,,,,,,
"87541000033117","","aspirin  tablets  600 mg","","",,,,,,,
